City,Cloudiness,Country Code,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Belaya Gora,100.0,RU,1607904400.0,87.0,68.53,146.42,-22.25,3.51
Mar del Plata,0.0,AR,1607904123.0,39.0,-38.0,-57.56,64.4,3.36
Tautira,40.0,PF,1607904400.0,66.0,-17.73,-149.15,86.0,13.87
Makkah al Mukarramah,0.0,SA,1607904400.0,61.0,21.43,39.83,72.14,1.05
Naze,75.0,JP,1607904400.0,68.0,28.37,129.48,68.0,5.82
Severo-Kuril'sk,100.0,RU,1607904400.0,91.0,50.68,156.12,34.25,45.39
Halifax,89.0,CA,1607904198.0,100.0,44.65,-63.57,48.99,4.7
Muros,47.0,ES,1607904400.0,86.0,42.78,-9.06,59.0,11.99
New Norfolk,0.0,AU,1607904400.0,38.0,-42.78,147.06,84.0,3.0
Lorengau,98.0,PG,1607904401.0,78.0,-2.02,147.27,84.6,11.95
Sinnamary,1.0,GF,1607904401.0,86.0,5.38,-52.95,78.06,7.99
Bonavista,100.0,CA,1607904401.0,92.0,48.65,-53.11,28.99,3.36
Tuktoyaktuk,75.0,CA,1607904401.0,76.0,69.45,-133.04,-4.0,11.41
Barrow,1.0,US,1607904401.0,64.0,71.29,-156.79,-4.0,23.04
Kiryat Gat,0.0,IL,1607904401.0,37.0,31.61,34.76,75.0,8.05
Thunder Bay,90.0,CA,1607904238.0,92.0,48.4,-89.32,17.01,12.75
Dunedin,80.0,NZ,1607904401.0,64.0,-45.87,170.5,60.01,15.99
Vizinga,52.0,RU,1607904402.0,94.0,61.07,50.1,15.13,7.0
Berlevåg,97.0,NO,1607904402.0,92.0,70.86,29.09,30.07,8.84
High Level,90.0,CA,1607904402.0,83.0,58.52,-117.14,-14.8,2.24
Rikitea,43.0,PF,1607904402.0,69.0,-23.12,-134.97,76.32,4.41
Lüderitz,0.0,NA,1607904402.0,87.0,-26.65,15.16,59.0,10.29
Vaini,20.0,TO,1607904402.0,74.0,-21.2,-175.2,86.0,14.99
Riyadh,0.0,SA,1607904402.0,62.0,24.69,46.72,51.8,2.64
Vila Franca do Campo,40.0,PT,1607904402.0,71.0,37.72,-25.43,55.4,11.41
Pinega,98.0,RU,1607904402.0,97.0,64.7,43.39,15.19,5.79
Nara,75.0,JP,1607904403.0,52.0,34.69,135.8,51.8,17.22
Hobart,0.0,AU,1607904374.0,38.0,-42.88,147.33,84.0,11.41
Tiksi,34.0,RU,1607904403.0,82.0,71.69,128.87,-28.61,3.49
Coquimbo,40.0,CL,1607904302.0,87.0,-29.95,-71.34,59.0,13.87
San Luis,0.0,AR,1607904286.0,24.0,-33.3,-66.34,66.0,10.74
Mahébourg,75.0,MU,1607904403.0,94.0,-20.41,57.7,75.2,13.87
Bar Harbor,90.0,US,1607904403.0,93.0,44.39,-68.2,44.01,6.93
Fairfield,1.0,US,1607904403.0,53.0,41.27,-73.32,51.01,5.82
Kloulklubed,75.0,PW,1607904403.0,78.0,7.04,134.26,82.4,11.41
Jamestown,90.0,US,1607903612.0,92.0,42.1,-79.24,33.01,5.82
Shibetsu,40.0,JP,1607904404.0,79.0,43.66,145.13,21.2,2.24
Lebedinyy,32.0,RU,1607904404.0,82.0,58.52,125.52,-40.61,0.58
Hobyo,8.0,SO,1607904404.0,77.0,5.35,48.53,77.49,19.24
Bridlington,75.0,GB,1607904404.0,93.0,54.08,-0.19,50.0,8.05
Uyemskiy,90.0,RU,1607904404.0,92.0,64.47,40.85,21.2,2.24
Ahipara,40.0,NZ,1607904404.0,56.0,-35.17,173.17,69.75,3.6
Esperance,75.0,AU,1607904404.0,63.0,-33.87,121.9,62.6,18.34
Saint George,1.0,US,1607904183.0,28.0,37.1,-113.58,43.0,4.63
Bredasdorp,45.0,ZA,1607904404.0,82.0,-34.53,20.04,59.0,3.36
Salinópolis,68.0,BR,1607904404.0,79.0,-0.61,-47.36,80.47,9.69
Nouadhibou,64.0,MR,1607904404.0,72.0,20.93,-17.03,64.4,16.11
Mandalgovi,40.0,MN,1607904405.0,73.0,45.76,106.27,-8.9,5.84
Miandrivazo,100.0,MG,1607904405.0,76.0,-19.52,45.47,79.2,2.84
Nizwá,0.0,OM,1607904405.0,76.0,22.93,57.53,53.26,2.19
Atambua,100.0,ID,1607904405.0,80.0,-9.11,124.89,80.53,0.98
Khatanga,100.0,RU,1607904405.0,91.0,71.97,102.5,-5.87,8.14
Bethel,1.0,US,1607904211.0,53.0,41.37,-73.41,50.0,5.82
Tursunzoda,90.0,TJ,1607904405.0,92.0,38.51,68.23,28.4,4.47
Salalah,0.0,OM,1607904405.0,30.0,17.02,54.09,69.8,9.17
Hamilton,90.0,US,1607904379.0,70.0,39.18,-84.53,43.0,5.57
Qaanaaq,100.0,GL,1607904405.0,90.0,77.48,-69.36,23.83,5.79
Rundu,85.0,NA,1607904406.0,81.0,-17.93,19.77,69.67,4.63
Vikulovo,70.0,RU,1607904406.0,95.0,56.82,70.61,8.76,8.95
Carnarvon,1.0,AU,1607904406.0,56.0,-24.87,113.63,69.8,19.46
Chui,100.0,UY,1607904406.0,70.0,-33.7,-53.46,63.86,9.35
Tignère,22.0,CM,1607904406.0,29.0,7.37,12.65,68.88,1.34
Paamiut,100.0,GL,1607904406.0,93.0,61.99,-49.67,22.37,41.14
Longyearbyen,75.0,SJ,1607904406.0,73.0,78.22,15.64,19.4,4.7
Xining,69.0,CN,1607904406.0,88.0,36.62,101.77,8.8,3.33
Conde,40.0,BR,1607904406.0,94.0,-7.26,-34.91,77.0,9.17
Gillette,1.0,US,1607904162.0,72.0,44.29,-105.5,17.6,8.05
Avarua,50.0,CK,1607904407.0,74.0,-21.21,-159.78,84.2,6.93
San Patricio,75.0,US,1607904407.0,56.0,28.02,-97.52,73.4,20.8
Ginda,2.0,IN,1607904407.0,44.0,30.69,78.49,37.99,8.08
Batagay-Alyta,0.0,RU,1607904407.0,67.0,67.8,130.41,-34.19,1.36
Katsuura,75.0,JP,1607904407.0,62.0,35.13,140.3,57.99,14.99
Lagos,9.0,NG,1607904126.0,90.0,6.58,3.75,78.22,4.56
Hermanus,17.0,ZA,1607904121.0,93.0,-34.42,19.23,57.0,8.41
Dali,99.0,CN,1607904407.0,83.0,25.7,100.18,43.05,3.6
Bandarbeyla,0.0,SO,1607904407.0,69.0,9.49,50.81,72.41,16.24
Sakaiminato,75.0,JP,1607904231.0,81.0,35.55,133.23,42.8,8.05
Severnyy,90.0,RU,1607904408.0,92.0,50.68,36.55,26.6,11.18
Punta Arenas,40.0,CL,1607904408.0,66.0,-53.15,-70.92,48.2,16.11
Saint-François,0.0,FR,1607904408.0,93.0,46.42,3.91,43.0,2.24
Arraial do Cabo,75.0,BR,1607904312.0,78.0,-22.97,-42.03,78.8,9.17
Qasigiannguit,100.0,GL,1607904408.0,73.0,68.82,-51.19,24.8,9.17
Atuona,1.0,PF,1607904408.0,73.0,-9.8,-139.03,79.18,13.18
Kavieng,40.0,PG,1607904408.0,73.0,-2.57,150.8,85.14,10.85
Lebu,14.0,CL,1607904408.0,77.0,-37.62,-73.65,53.62,14.09
Staryy Nadym,100.0,RU,1607904408.0,96.0,65.61,72.68,13.12,6.15
Chepareria,30.0,KE,1607904409.0,66.0,1.31,35.2,58.87,3.87
Hasaki,75.0,JP,1607904409.0,70.0,35.73,140.83,46.4,5.82
Shellbrook,20.0,CA,1607904409.0,69.0,53.22,-106.4,-7.6,4.7
Dawei,83.0,MM,1607904409.0,86.0,14.08,98.2,74.35,2.75
Todos Santos,0.0,MX,1607904409.0,63.0,23.45,-110.22,73.0,1.99
Chokurdakh,100.0,RU,1607904409.0,88.0,70.63,147.92,-19.17,6.06
Vao,90.0,NC,1607904409.0,79.0,-22.67,167.48,77.29,23.0
Bambous Virieux,75.0,MU,1607904409.0,94.0,-20.34,57.76,75.2,13.87
Poum,64.0,NC,1607904409.0,80.0,-20.23,164.02,81.21,26.78
Luau,99.0,AO,1607904409.0,99.0,-10.71,22.22,62.92,5.61
Hilo,90.0,US,1607904409.0,69.0,19.73,-155.09,80.6,9.17
Dickinson,75.0,US,1607904291.0,82.0,29.46,-95.05,59.0,23.04
‘Āhuimanu,7.0,US,1607904410.0,65.0,21.44,-157.84,82.4,8.05
Madingou,100.0,CG,1607904410.0,95.0,-4.15,13.55,73.54,1.92
Lumberton,1.0,US,1607904140.0,93.0,34.62,-79.01,62.6,5.82
Provideniya,90.0,RU,1607904410.0,85.0,64.38,-173.3,19.4,26.84
Tamandaré,99.0,BR,1607904410.0,77.0,-8.76,-35.1,78.35,9.73
Ahome,5.0,MX,1607904410.0,35.0,25.92,-109.18,73.4,19.46
Saskylakh,100.0,RU,1607904410.0,83.0,71.92,114.08,-23.91,16.82
Isangel,75.0,VU,1607904410.0,74.0,-19.55,169.27,86.0,9.17
Barra,12.0,BR,1607904242.0,46.0,-11.09,-43.14,77.2,3.04
Abu Samrah,90.0,SY,1607904410.0,69.0,35.3,37.18,53.91,6.42
Nemenčinė,90.0,LT,1607904411.0,100.0,54.85,25.48,30.0,3.36
Ulagan,100.0,RU,1607904411.0,85.0,50.63,87.96,4.03,0.94
Vad,28.0,RU,1607904411.0,94.0,55.53,44.21,10.92,7.72
George Town,20.0,MY,1607904411.0,94.0,5.41,100.34,78.8,4.63
St. George's,20.0,GD,1607904411.0,94.0,12.06,-61.75,78.8,11.12
Alençon,75.0,FR,1607904219.0,93.0,48.43,0.08,51.8,9.17
Ribeira Grande,62.0,PT,1607904411.0,64.0,38.52,-28.7,58.51,20.69
Kunnamangalam,40.0,IN,1607904411.0,94.0,11.3,75.88,73.4,2.24
Lexington,90.0,US,1607904204.0,75.0,37.99,-84.48,44.01,3.36
Hualmay,57.0,PE,1607904411.0,83.0,-11.1,-77.61,67.53,9.37
Montepuez,58.0,MZ,1607904412.0,95.0,-13.13,39.0,70.45,3.42
Whitehorse,75.0,CA,1607904412.0,71.0,60.72,-135.05,8.6,2.24
Tabuk,69.0,PH,1607904412.0,85.0,17.42,121.44,76.23,1.43
Presidencia Roque Sáenz Peña,95.0,AR,1607904412.0,94.0,-26.79,-60.44,68.0,4.0
Khowai,51.0,IN,1607904412.0,95.0,24.1,91.63,59.47,2.89
Fortuna,100.0,US,1607904412.0,90.0,40.6,-124.16,51.01,1.01
Ji’an,100.0,CN,1607904413.0,86.0,27.12,114.98,39.42,14.36
Carroll,96.0,US,1607904413.0,73.0,39.55,-77.02,44.01,6.71
Geraldton,40.0,AU,1607904413.0,52.0,-28.77,114.6,68.0,11.41
Baharly,0.0,TM,1607904413.0,84.0,38.44,57.43,29.03,8.86
Kyra,8.0,RU,1607904413.0,82.0,49.58,111.98,-8.57,3.56
Dahuk,100.0,IQ,1607904413.0,73.0,36.87,42.99,50.94,3.96
Port Elizabeth,0.0,ZA,1607904413.0,93.0,-33.92,25.57,66.2,3.36
Honiara,40.0,SB,1607904204.0,70.0,-9.43,159.95,87.8,4.7
Krasnosel'kup,99.0,RU,1607904414.0,95.0,65.7,82.47,7.7,9.8
Dibrugarh,47.0,IN,1607904414.0,78.0,27.48,94.9,59.47,2.59
Codrington,24.0,AU,1607904414.0,41.0,-38.27,141.97,80.42,13.78
Saint-Philippe,90.0,RE,1607904414.0,83.0,-21.36,55.77,75.2,20.8
Oranjestad,20.0,AW,1607904414.0,74.0,12.52,-70.03,82.4,18.34
Mersing,93.0,MY,1607904115.0,94.0,2.43,103.84,75.2,5.82
Airai,99.0,TL,1607904414.0,96.0,-8.93,125.41,69.28,1.14
Mocuba,100.0,MZ,1607904414.0,92.0,-16.84,36.99,74.01,2.46
Portland,90.0,US,1607904319.0,81.0,45.52,-122.68,43.0,5.82
Kautokeino,99.0,NO,1607904414.0,97.0,69.01,23.04,22.17,2.06
Afrikanda,100.0,RU,1607904414.0,96.0,67.44,32.78,21.0,4.79
Kushima,75.0,JP,1607904414.0,57.0,31.46,131.23,50.0,17.22
Nurma,90.0,RU,1607904415.0,85.0,59.55,31.02,26.01,2.24
East London,50.0,ZA,1607904415.0,85.0,-33.02,27.91,69.96,13.0
Inhambane,7.0,MZ,1607904415.0,90.0,-23.86,35.38,77.0,6.44
Klaksvík,100.0,FO,1607904415.0,87.0,62.23,-6.59,44.6,32.21
Constitución,11.0,CL,1607904415.0,56.0,-35.33,-72.42,59.94,16.73
Ostrovnoy,82.0,RU,1607904415.0,97.0,68.05,39.51,25.32,2.8
Poronaysk,0.0,RU,1607904415.0,82.0,49.22,143.12,8.44,7.34
Tura,74.0,IN,1607904415.0,72.0,25.52,90.22,58.78,2.55
Lincoln Village,40.0,US,1607904177.0,74.0,39.95,-83.13,37.99,8.05
Kavaratti,23.0,IN,1607904415.0,66.0,10.57,72.64,81.75,2.59
Kaitangata,90.0,NZ,1607904416.0,54.0,-46.28,169.85,62.08,6.38
Reinosa,0.0,ES,1607904416.0,55.0,43.0,-4.14,66.2,14.99
Port Moresby,20.0,PG,1607904416.0,66.0,-9.44,147.18,86.0,11.41
Wuwei,7.0,CN,1607904416.0,84.0,37.93,102.64,10.63,0.94
Bengkulu,100.0,ID,1607904416.0,83.0,-3.8,102.27,75.6,1.95
Butaritari,3.0,KI,1607904416.0,74.0,3.07,172.79,82.36,17.96
Monroe,90.0,US,1607904416.0,69.0,43.15,-77.68,37.0,5.82
Buala,83.0,SB,1607904416.0,63.0,-8.14,159.59,86.54,3.2
Cidreira,86.0,BR,1607904417.0,92.0,-30.18,-50.21,71.26,5.68
Zhengjiatun,0.0,CN,1607904417.0,85.0,43.51,123.51,-4.32,10.74
Stawell,0.0,AU,1607904417.0,27.0,-37.05,142.77,83.28,16.04
Bubaque,0.0,GW,1607904417.0,63.0,11.28,-15.83,80.4,8.63
Leshukonskoye,98.0,RU,1607904417.0,97.0,64.9,45.76,14.94,6.64
Pevek,100.0,RU,1607904417.0,89.0,69.7,170.31,12.96,8.66
Prainha,100.0,BR,1607904417.0,61.0,-1.8,-53.48,82.02,2.8
Nichinan,75.0,JP,1607904306.0,66.0,31.6,131.37,50.0,12.75
Alyangula,40.0,AU,1607904417.0,88.0,-13.85,136.42,80.6,6.93
Port Hedland,33.0,AU,1607904417.0,58.0,-20.32,118.57,82.4,8.05
Talara,30.0,PE,1607904417.0,84.0,-4.58,-81.27,67.96,16.89
Kieta,93.0,PG,1607904417.0,65.0,-6.22,155.63,86.25,6.02
Acapulco de Juárez,20.0,MX,1607904418.0,74.0,16.86,-99.89,84.2,4.7
Anadyr,75.0,RU,1607904418.0,85.0,64.75,177.48,21.2,20.13
Nanortalik,100.0,GL,1607904418.0,97.0,60.14,-45.24,30.74,10.36
Rio Grande,75.0,BR,1607904418.0,78.0,-32.03,-52.1,73.4,11.41
Byron Bay,75.0,AU,1607904418.0,94.0,-28.65,153.62,69.8,23.04
Peterhead,90.0,GB,1607904418.0,93.0,57.51,-1.8,48.2,13.87
Leningradskiy,100.0,RU,1607904418.0,90.0,69.38,178.42,16.3,21.59
Santa Cruz de la Sierra,40.0,BO,1607904418.0,74.0,-17.8,-63.17,80.6,18.34
Pierre,1.0,US,1607904389.0,52.0,44.37,-100.35,19.4,11.41
Oistins,20.0,BB,1607904419.0,83.0,13.07,-59.53,78.8,6.93
Vila Velha,0.0,BR,1607904318.0,78.0,-20.33,-40.29,77.0,10.29
Itarema,55.0,BR,1607904419.0,76.0,-2.92,-39.92,81.07,15.17
Tabou,78.0,CI,1607904419.0,86.0,4.42,-7.35,78.21,5.86
Nyuksenitsa,67.0,RU,1607904419.0,93.0,60.41,44.24,17.47,7.96
Breytovo,100.0,RU,1607904419.0,98.0,58.3,37.86,23.67,9.31
San Quintín,0.0,MX,1607904419.0,59.0,30.48,-115.95,64.06,2.21
Yar-Sale,99.0,RU,1607904419.0,96.0,66.83,70.83,12.31,4.21
Nantucket,1.0,US,1607904185.0,87.0,41.28,-70.1,51.8,10.29
Cartagena,40.0,CO,1607904204.0,83.0,10.4,-75.51,82.4,11.41
Russell,90.0,US,1607904420.0,88.0,32.35,-85.2,64.4,6.67
Tingi,99.0,TZ,1607904152.0,90.0,-11.3,35.03,64.22,3.91
Solwezi,100.0,ZM,1607904420.0,94.0,-12.17,26.39,62.1,6.49
Huarmey,72.0,PE,1607904420.0,80.0,-10.07,-78.15,68.56,6.6
Mastung,0.0,PK,1607904420.0,87.0,29.8,66.84,33.44,8.77
Nikolskoye,90.0,RU,1607904420.0,85.0,59.7,30.79,26.01,2.24
Te Anau,28.0,NZ,1607904420.0,48.0,-45.42,167.72,62.35,2.95
Kyaikto,0.0,MM,1607904420.0,62.0,17.3,97.02,66.2,2.73
Havre-St-Pierre,90.0,CA,1607904421.0,61.0,50.23,-63.6,14.0,17.22
Emba,3.0,KZ,1607904421.0,80.0,48.83,58.14,11.37,2.33
Qaqortoq,75.0,GL,1607904421.0,86.0,60.72,-46.03,26.6,1.12
Kuril'sk,99.0,RU,1607904421.0,86.0,45.23,147.88,23.52,19.19
Kropotkin,75.0,RU,1607904160.0,80.0,45.44,40.58,40.59,15.14
Oranjemund,0.0,NA,1607904421.0,86.0,-28.55,16.43,60.89,10.56
Teya,100.0,RU,1607904421.0,90.0,60.38,92.63,0.12,4.47
Chato,100.0,TZ,1607904421.0,90.0,-2.64,31.77,64.38,6.49
General Pico,0.0,AR,1607904421.0,25.0,-35.66,-63.76,65.32,4.56
Sitrah,5.0,BH,1607904422.0,72.0,26.15,50.62,64.4,12.75
Verkh-Suetka,93.0,RU,1607904422.0,95.0,53.3,80.05,6.42,6.38
Lompoc,90.0,US,1607904422.0,87.0,34.64,-120.46,57.2,6.93
Panabá,30.0,MX,1607904422.0,92.0,21.28,-88.27,74.61,6.55
Sidi Ali,100.0,DZ,1607904422.0,72.0,36.1,0.42,58.33,7.58
Los Llanos de Aridane,75.0,ES,1607904422.0,88.0,28.66,-17.92,64.4,7.7
Porto-Novo,40.0,BJ,1607904422.0,88.0,6.5,2.6,82.4,10.29
Iberia,75.0,US,1607904422.0,88.0,29.95,-91.75,69.8,16.11
De-Kastri,98.0,RU,1607904422.0,90.0,51.47,140.78,1.89,17.27
Malbork,100.0,PL,1607904422.0,100.0,54.04,19.03,35.01,5.82
Mozarlândia,79.0,BR,1607904423.0,69.0,-14.74,-50.57,80.02,5.08
Avera,75.0,US,1607904423.0,91.0,33.19,-82.53,61.0,4.56
Sibiti,100.0,CG,1607904423.0,100.0,-3.68,13.35,69.69,1.45
Yerbogachën,97.0,RU,1607904423.0,85.0,61.28,108.01,-22.02,8.72
Hong Gai,75.0,VN,1607904423.0,88.0,20.96,107.09,73.4,5.82
Alice Town,17.0,BS,1607904423.0,69.0,25.72,-79.3,75.49,6.76
Tucuruí,87.0,BR,1607904183.0,81.0,-3.77,-49.67,78.04,0.85
Pangnirtung,0.0,CA,1607904423.0,70.0,66.15,-65.71,-10.17,4.9
Georgiyevka,90.0,KZ,1607904424.0,85.0,43.04,74.71,14.0,2.24
Erie,75.0,US,1607904373.0,69.0,42.77,-78.67,37.0,5.82
Porangatu,99.0,BR,1607904424.0,74.0,-13.44,-49.15,76.75,2.35
Paysandu,90.0,UY,1607904424.0,82.0,-32.32,-58.08,64.99,1.99
Neepawa,75.0,CA,1607904424.0,77.0,50.23,-99.47,5.0,18.34
Lozova,100.0,UA,1607904149.0,93.0,48.89,36.32,33.24,14.74
Coahuayana Viejo,40.0,MX,1607904424.0,74.0,18.73,-103.68,78.8,11.41
Aksarka,100.0,RU,1607904424.0,96.0,66.56,67.8,12.22,3.09
Jalu,0.0,LY,1607904424.0,53.0,29.03,21.55,56.16,17.31
Jishou,100.0,CN,1607904425.0,94.0,28.32,109.72,31.44,5.44
Cutro,11.0,IT,1607904425.0,67.0,39.04,16.98,48.99,5.01
Southbridge,90.0,US,1607904425.0,72.0,42.08,-72.03,44.01,6.51
Aklavik,24.0,CA,1607904425.0,73.0,68.22,-135.01,-29.2,5.82
Hong Kong,88.0,HK,1607904177.0,81.0,22.29,114.16,70.0,15.59
Kismayo,1.0,SO,1607904425.0,80.0,-0.36,42.55,77.36,11.23
La Romana,20.0,DO,1607904425.0,88.0,18.43,-68.97,75.2,4.7
Flin Flon,5.0,CA,1607904425.0,69.0,54.77,-101.86,-7.6,5.82
Valladolid,90.0,ES,1607904426.0,100.0,41.58,-4.67,48.99,5.82
Bilibino,100.0,RU,1607904426.0,87.0,68.05,166.44,-1.75,4.54
Faanui,3.0,PF,1607904426.0,73.0,-16.48,-151.75,80.31,10.94
Kenai,90.0,US,1607904355.0,50.0,60.55,-151.26,33.8,17.22
Kungurtug,98.0,RU,1607904426.0,84.0,50.6,97.52,-6.59,1.14
Qui Nhon,24.0,VN,1607904127.0,89.0,13.77,109.23,75.33,5.23
Poso,100.0,ID,1607904426.0,57.0,-1.4,120.75,88.0,2.13
Pisco,0.0,PE,1607904426.0,77.0,-13.7,-76.22,69.8,21.92
Necochea,0.0,AR,1607904399.0,80.0,-38.55,-58.74,57.0,4.34
Tuatapere,62.0,NZ,1607904426.0,71.0,-46.13,167.68,57.99,11.99
Talnakh,98.0,RU,1607904427.0,75.0,69.49,88.4,-16.6,4.47
Tasiilaq,100.0,GL,1607904427.0,60.0,65.61,-37.64,39.2,21.81
Pokhara,0.0,NP,1607904427.0,35.0,28.23,83.98,54.46,4.7
Yangi Marg`ilon,90.0,UZ,1607904427.0,80.0,40.43,71.72,30.2,6.93
Bayir,75.0,TR,1607904427.0,87.0,37.27,28.22,59.0,4.7
Bozoum,1.0,CF,1607904427.0,30.0,6.32,16.38,73.02,2.35
Torbay,90.0,CA,1607904199.0,100.0,47.67,-52.73,28.99,17.22
Ust'-Ishim,100.0,RU,1607904427.0,96.0,57.69,71.17,13.32,8.08
Baruun-Urt,0.0,MN,1607904427.0,83.0,46.68,113.28,-15.27,7.63
Aldama,1.0,MX,1607904428.0,63.0,22.92,-98.07,80.01,1.99
Karpathos,100.0,GR,1607904323.0,87.0,35.51,27.21,59.0,13.87
Mutare,97.0,ZW,1607904428.0,97.0,-18.97,32.67,65.53,5.06
Kapaa,1.0,US,1607904428.0,65.0,22.08,-159.32,82.4,6.93
Taoudenni,63.0,ML,1607904428.0,25.0,22.68,-3.98,67.95,9.95
São Félix do Xingu,90.0,BR,1607904428.0,77.0,-6.64,-51.99,76.68,1.9
Algiers,20.0,DZ,1607904273.0,93.0,36.75,3.04,46.4,3.36
Kawhia,0.0,NZ,1607904428.0,42.0,-38.07,174.82,77.0,3.0
São João da Barra,89.0,BR,1607904429.0,83.0,-21.64,-41.05,75.92,21.03
Deputatsky,100.0,RU,1607904429.0,87.0,69.3,139.9,-24.29,2.48
Kédougou,42.0,SN,1607904429.0,24.0,12.56,-12.17,76.28,2.04
Salisbury,85.0,GB,1607904295.0,93.0,51.07,-1.8,52.0,20.8
Tessalit,0.0,ML,1607904429.0,28.0,20.2,1.01,64.78,8.03
Biltine,70.0,TD,1607904429.0,21.0,14.53,20.92,69.87,4.97
Yantongshan,14.0,CN,1607904429.0,87.0,43.29,126.01,-0.99,8.14
Sabzawār,0.0,IR,1607904429.0,76.0,36.21,57.68,28.74,6.11
Cardston,100.0,CA,1607904430.0,84.0,49.2,-113.3,8.6,4.7
Varadero,20.0,CU,1607904430.0,83.0,23.15,-81.25,75.2,8.05
Villarrobledo,100.0,ES,1607904430.0,96.0,39.27,-2.6,43.0,0.87
Morón,17.0,AR,1607904430.0,72.0,-34.65,-58.62,75.0,5.99
Tagāb,90.0,AF,1607904430.0,79.0,34.85,69.65,33.8,3.36
Walvis Bay,17.0,NA,1607904430.0,82.0,-22.96,14.51,62.6,8.05
Laguna,90.0,US,1607904430.0,87.0,38.42,-121.42,51.8,6.93
Arvika,98.0,SE,1607904430.0,100.0,59.66,12.59,35.6,3.36
Dalvik,40.0,IS,1607904430.0,86.0,65.97,-18.53,41.0,6.93
Bahía Blanca,5.0,AR,1607904431.0,36.0,-38.72,-62.27,65.73,9.04
Sistranda,0.0,NO,1607904431.0,74.0,63.73,8.83,35.6,10.29
Mathbaria,58.0,BD,1607904431.0,67.0,22.29,89.96,65.16,4.94
Grand Gaube,35.0,MU,1607904431.0,85.0,-20.01,57.66,73.99,1.99
Hefei,0.0,CN,1607904431.0,84.0,31.86,117.28,32.0,6.71
Port Blair,73.0,IN,1607904193.0,79.0,11.67,92.75,76.78,8.7
Touros,0.0,BR,1607904431.0,83.0,-5.2,-35.46,78.8,5.82
College,75.0,US,1607904178.0,65.0,64.86,-147.8,6.8,14.99
